"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGLV7-43",-4.74094141611481,5.79766592921257,-11.6486917398885,6.2665267216555e-28,1.35436592896108e-26,52.5269365685041
"GALNT12",-2.05397865725673,10.4817362903753,-11.6456869623638,6.44295075174146e-28,1.39107065667589e-26,52.499439617357
"MFSD4A",-2.75579608178044,8.28376321558348,-11.6431389960865,6.59641871520053e-28,1.42274904272434e-26,52.4761261686331
"NEURL1B",-2.14386211462157,10.7574981669756,-11.6387765917851,6.8676620192035e-28,1.4797391484482e-26,52.4362177218339
"BVES",-2.83397413136341,5.60958670190283,-11.6376509536891,6.93943399430492e-28,1.49367776199865e-26,52.4259214749279
"RGMA",-3.29285760563964,7.33999189255396,-11.6358074255165,7.05859460792581e-28,1.51777772333932e-26,52.4090598996122
"FAM163A",-2.77215105398623,3.40653969265735,-11.6349934659862,7.11185238407485e-28,1.52767224225738e-26,52.401615619375
"IGHV3OR15-7",-3.46365007795277,2.82013032682882,-11.6277056650802,7.6068651371985e-28,1.63234194510748e-26,52.3349764516154
"FAM218A",-2.63098510079913,1.87076732575586,-11.6238344439366,7.8835993302592e-28,1.69000654748463e-26,52.2995880173941
"MBOAT1",-1.67549169822012,8.90074628545491,-11.6172699917694,8.37593437648909e-28,1.79372547957016e-26,52.2395951258701
"DPEP1",4.8183427509141,11.4082111799928,11.6170277168538,8.39467882215902e-28,1.79591638006716e-26,52.2373813348867
"MYO1A",-2.73220324350811,11.097992123531,-11.6160054685605,8.4742291972835e-28,1.81109818325733e-26,52.2280408168576
"SEC14L6",-2.45639160768363,2.24410419095216,-11.6146077976643,8.58420947437719e-28,1.83274609972179e-26,52.2152707411842
"COL4A6",-3.50413342346803,4.49405839354303,-11.6123403151512,8.76566175097421e-28,1.86959422623913e-26,52.1945553530579
"DENND2A",-2.07300823166161,8.02581956573617,-11.6107459766766,8.89552611955922e-28,1.89537604006043e-26,52.1799911037277
"TP53I3",-1.6916541179962,10.0314221354747,-11.6101546118798,8.94417988603833e-28,1.90381968230164e-26,52.174589291001
"MAB21L2",-3.38904669872398,7.59312933991903,-11.6098449126642,8.96976550619405e-28,1.90734106439171e-26,52.1717604114116
"ZNF671",-2.30191433914691,5.5055813455066,-11.6076364489533,9.15433936212769e-28,1.94462874627111e-26,52.1515889429993
"CIPC",-1.88444784328162,9.88312581781493,-11.6038999091525,9.47526619013442e-28,2.01077731403114e-26,52.1174655009305
"EGFL6",2.73919603827724,6.25270321992737,11.5975855483593,1.00432329380834e-27,2.12916538287368e-26,52.0598148409359
"IGHV3-60",-3.23701584321131,2.43076704349788,-11.5893754759367,1.08326397570001e-27,2.29421388588513e-26,51.9848832153051
"NR3C1",-2.63362794394864,8.58826681534891,-11.5876115239195,1.10101388161391e-27,2.32946708312576e-26,51.968787984906
"TRHDE",-3.58722040397206,5.20176483229052,-11.5861348775994,1.11609499840959e-27,2.3590088072597e-26,51.9553153701913
"TMEM54",-1.86707931553163,12.6473553802642,-11.5846174443731,1.13180675935523e-27,2.3898230011851e-26,51.9414716561672
"TAS1R1",-2.3838468042768,1.64726763036077,-11.5827583503015,1.15135631872524e-27,2.42867101871902e-26,51.9245123579446
"JAML",-2.40505249816408,7.84338490095524,-11.5819018680971,1.16047543726383e-27,2.44546142593838e-26,51.9166997599681
"COL6A5",-3.14266985720046,2.08785983847913,-11.5786403623396,1.19586378185882e-27,2.51752002141018e-26,51.8869522432973
"SESN2",-1.73667367362281,9.63585484748293,-11.5707922192945,1.285479470517e-27,2.70347995524283e-26,51.8153907890816
"DOCK7-DT",-2.24635879368276,2.26623631544374,-11.5577959188297,1.44880103873275e-27,3.04392521026181e-26,51.696948742469
"PRKACB",-2.94849048024262,10.2960698424178,-11.5558944103791,1.4743681010962e-27,3.09455927607196e-26,51.6796257629261
"DSC2",-2.12831943711987,11.7192909678173,-11.554030906389,1.49985949244068e-27,3.14493400929858e-26,51.6626506089758
