#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMK2B	SYT1	9606.ENSP00000379098	9606.ENSP00000261205	0	0	0	0	0.124	0	0	0.496	0.539
CAMK2B	NRG1	9606.ENSP00000379098	9606.ENSP00000287842	0	0	0	0	0	0	0.400	0.071	0.418
CAMK2B	MAPT	9606.ENSP00000379098	9606.ENSP00000340820	0	0	0	0	0.223	0.108	0.900	0.204	0.937
CAMK2B	SYT3	9606.ENSP00000379098	9606.ENSP00000340914	0	0	0	0	0.109	0	0	0.405	0.447
CAMK2B	DLG2	9606.ENSP00000379098	9606.ENSP00000365272	0	0	0	0	0.113	0.128	0.400	0.335	0.650
CAMK2B	NLGN1	9606.ENSP00000379098	9606.ENSP00000392500	0	0	0	0	0.076	0	0	0.413	0.435
CAMK2B	MPP2	9606.ENSP00000379098	9606.ENSP00000428182	0	0.433	0	0	0.090	0.129	0	0.229	0.607
CAMK2B	DLG4	9606.ENSP00000379098	9606.ENSP00000497806	0	0	0	0	0.104	0.128	0.400	0.682	0.831
CBLN2	GRID1	9606.ENSP00000269503	9606.ENSP00000330148	0	0	0	0	0.099	0.099	0	0.377	0.450
CBLN2	NLGN3	9606.ENSP00000269503	9606.ENSP00000351591	0	0	0	0	0.097	0.057	0	0.438	0.480
CBLN2	NLGN1	9606.ENSP00000269503	9606.ENSP00000392500	0	0	0	0	0.074	0.057	0	0.471	0.498
CCBE1	FLT4	9606.ENSP00000497183	9606.ENSP00000261937	0	0	0	0	0	0	0	0.663	0.663
CCDC78	TNNT1	9606.ENSP00000293889	9606.ENSP00000467176	0	0	0	0	0.044	0	0	0.419	0.420
CCDC78	HAGHL	9606.ENSP00000293889	9606.ENSP00000374353	0	0	0	0	0.328	0	0	0.232	0.461
CCDC8	STK33	9606.ENSP00000303158	9606.ENSP00000416750	0	0	0	0	0.062	0.094	0	0.404	0.450
CCDC8	TPM2	9606.ENSP00000303158	9606.ENSP00000496494	0	0	0	0	0.055	0.045	0	0.452	0.462
CCDC8	KLHL35	9606.ENSP00000303158	9606.ENSP00000438526	0	0	0	0	0	0	0	0.483	0.483
CCN5	CILP	9606.ENSP00000361959	9606.ENSP00000261883	0	0	0	0	0.185	0	0	0.297	0.403
CCN5	SFRP2	9606.ENSP00000361959	9606.ENSP00000274063	0	0	0	0	0.103	0	0	0.379	0.419
CCNA1	DAPK1	9606.ENSP00000255465	9606.ENSP00000386135	0	0	0	0	0.056	0	0	0.391	0.400
CCNA1	MAPT	9606.ENSP00000255465	9606.ENSP00000340820	0	0	0	0	0	0	0	0.446	0.446
CCNA1	PXDNL	9606.ENSP00000255465	9606.ENSP00000348645	0	0	0	0	0.067	0	0	0.580	0.591
CCNA1	H2BC5	9606.ENSP00000255465	9606.ENSP00000289316	0	0	0	0	0	0	0.500	0.269	0.619
CCNA1	CDKN2A	9606.ENSP00000255465	9606.ENSP00000418915	0	0	0	0	0.044	0	0	0.670	0.671
CDKN2A	SERPINE1	9606.ENSP00000418915	9606.ENSP00000223095	0	0	0	0	0	0	0	0.471	0.471
CDKN2A	SNAI1	9606.ENSP00000418915	9606.ENSP00000244050	0	0	0	0	0	0	0	0.522	0.522
CDKN2A	FABP4	9606.ENSP00000418915	9606.ENSP00000256104	0	0	0	0	0.056	0.045	0	0.453	0.463
CDKN2A	CHD5	9606.ENSP00000418915	9606.ENSP00000262450	0	0	0	0	0	0.099	0	0.488	0.518
CDKN2A	SFRP2	9606.ENSP00000418915	9606.ENSP00000274063	0	0	0	0	0	0.048	0	0.434	0.438
CDKN2A	UCHL1	9606.ENSP00000418915	9606.ENSP00000284440	0	0	0	0	0.102	0.299	0	0.734	0.818
CDKN2A	H2BC5	9606.ENSP00000418915	9606.ENSP00000289316	0	0	0	0	0.050	0.074	0.500	0.198	0.600
CDKN2A	MMP3	9606.ENSP00000418915	9606.ENSP00000299855	0	0	0	0	0.042	0	0	0.433	0.433
CDKN2A	H2AC8	9606.ENSP00000418915	9606.ENSP00000303373	0	0	0	0	0.055	0.050	0.500	0.068	0.525
CDKN2A	SIX2	9606.ENSP00000418915	9606.ENSP00000304502	0	0	0	0	0.103	0.162	0	0.404	0.513
CDKN2A	MMP1	9606.ENSP00000418915	9606.ENSP00000322788	0	0	0	0	0.063	0	0	0.399	0.412
CDKN2A	PXDNL	9606.ENSP00000418915	9606.ENSP00000348645	0	0	0	0	0	0	0	0.587	0.587
CDKN2A	FOXH1	9606.ENSP00000418915	9606.ENSP00000366534	0	0	0	0	0.042	0.059	0	0.414	0.425
CDKN2A	H2AC6	9606.ENSP00000418915	9606.ENSP00000367022	0	0	0	0	0.042	0.050	0.500	0.069	0.519
CDKN2A	RAB3IL1	9606.ENSP00000418915	9606.ENSP00000378313	0	0	0	0	0	0	0	0.472	0.472
CDKN2A	RUNX3	9606.ENSP00000418915	9606.ENSP00000382800	0	0	0	0	0.044	0	0.400	0.661	0.789
CDKN2A	MEIS2	9606.ENSP00000418915	9606.ENSP00000453793	0	0	0	0	0	0	0	0.435	0.435
CDKN2A	SIX1	9606.ENSP00000418915	9606.ENSP00000494686	0	0	0	0	0.095	0	0	0.464	0.494
CELF4	TNNT2	9606.ENSP00000410584	9606.ENSP00000499593	0	0	0	0	0	0	0	0.696	0.696
CERS1	NAT8L	9606.ENSP00000485582	9606.ENSP00000413064	0	0	0	0	0.254	0	0	0.479	0.594
CHD3	SNAI1	9606.ENSP00000369716	9606.ENSP00000244050	0	0	0	0	0.051	0	0.500	0.185	0.580
CHD3	SALL1	9606.ENSP00000369716	9606.ENSP00000251020	0	0	0	0	0	0.409	0	0.499	0.692
CHD3	CHD5	9606.ENSP00000369716	9606.ENSP00000262450	0	0	0.055	0.971	0	0.429	0.720	0.065	0.839
CHD3	H2BC5	9606.ENSP00000369716	9606.ENSP00000289316	0	0	0	0	0	0.146	0.500	0.106	0.585
CHD3	H2AC8	9606.ENSP00000369716	9606.ENSP00000303373	0	0	0	0	0	0.365	0.500	0.045	0.670
CHD3	H2AC6	9606.ENSP00000369716	9606.ENSP00000367022	0	0	0	0	0.049	0.141	0.500	0.082	0.575
CHD3	GPRASP1	9606.ENSP00000369716	9606.ENSP00000498934	0	0	0	0	0.109	0.099	0	0.326	0.412
CHPF	EXTL1	9606.ENSP00000243776	9606.ENSP00000363398	0	0	0	0	0.078	0	0	0.493	0.513
CHPF	CHST13	9606.ENSP00000243776	9606.ENSP00000317404	0	0	0	0	0	0	0	0.598	0.598
CHRNB4	TAS2R38	9606.ENSP00000261751	9606.ENSP00000448219	0	0	0	0	0	0	0	0.478	0.478
CHRNB4	NTRK2	9606.ENSP00000261751	9606.ENSP00000277120	0	0	0	0	0.049	0.043	0	0.495	0.500
CILP	COMP	9606.ENSP00000261883	9606.ENSP00000222271	0	0	0	0	0.304	0	0	0.523	0.654
