,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
3789,KRT19,1.139,0.934,1.39,1.139[0.934:1.39],0.198
3790,ADAM23,1.009,0.884,1.152,1.009[0.884:1.152],0.896
3791,ANKRD45,1.09,0.973,1.222,1.09[0.973:1.222],0.135
3792,NANOS3,1.054,0.949,1.171,1.054[0.949:1.171],0.324
3793,SP2.DT,1.062,0.868,1.3,1.062[0.868:1.3],0.561
3794,DLST,1.02,0.808,1.286,1.02[0.808:1.286],0.87
3795,ATP5PF,0.987,0.81,1.204,0.987[0.81:1.204],0.899
3796,MMP15,1.088,0.875,1.352,1.088[0.875:1.352],0.448
3797,SETD9,1.034,0.849,1.26,1.034[0.849:1.26],0.739
3798,DOCK8,1.05,0.912,1.209,1.05[0.912:1.209],0.497
3799,EPS8,0.962,0.781,1.186,0.962[0.781:1.186],0.718
3800,CPEB4,0.997,0.848,1.171,0.997[0.848:1.171],0.966
3801,GABARAP,1.052,0.921,1.201,1.052[0.921:1.201],0.457
3802,MIR100HG,1.081,0.957,1.221,1.081[0.957:1.221],0.212
3803,CRYZL1,1.024,0.812,1.292,1.024[0.812:1.292],0.841
3804,RPS28P5,0.977,0.842,1.135,0.977[0.842:1.135],0.764
3805,PACRG,0.945,0.825,1.082,0.945[0.825:1.082],0.411
3806,FEM1C,0.97,0.804,1.169,0.97[0.804:1.169],0.747
3807,RAB8A,1.023,0.798,1.313,1.023[0.798:1.313],0.855
3808,STEAP4,1.033,0.922,1.159,1.033[0.922:1.159],0.575
3809,NCAM2,1.026,0.918,1.147,1.026[0.918:1.147],0.654
3810,HNF4G,0.975,0.829,1.147,0.975[0.829:1.147],0.764
3811,MYC,1.018,0.836,1.239,1.018[0.836:1.239],0.859
3812,CFAP45,1.095,0.914,1.31,1.095[0.914:1.31],0.325
3813,DSCC1,1.066,0.888,1.278,1.066[0.888:1.278],0.494
3814,CDC45,0.96,0.784,1.176,0.96[0.784:1.176],0.692
3815,ZC3H12D,1.017,0.843,1.227,1.017[0.843:1.227],0.859
3816,BMPER,0.941,0.842,1.052,0.941[0.842:1.052],0.287
3817,INSC,0.857,0.762,0.963,0.857[0.762:0.963],0.01
3818,SLC39A10,1.045,0.86,1.269,1.045[0.86:1.269],0.658
3819,RAB5B,1.084,0.874,1.344,1.084[0.874:1.344],0.462
3820,ID3,1.07,0.899,1.274,1.07[0.899:1.274],0.446
3821,TRIP4,1.12,0.897,1.399,1.12[0.897:1.399],0.317
3822,ANLN,1.041,0.882,1.228,1.041[0.882:1.228],0.638
