,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
974,IGKV6D.21,0.919,0.836,1.011,0.919[0.836:1.011],0.084
975,CLDN11,1.135,1.009,1.276,1.135[1.009:1.276],0.035
976,IGLV7.43,0.925,0.857,0.999,0.925[0.857:0.999],0.047
977,GALNT12,1.061,0.874,1.289,1.061[0.874:1.289],0.549
978,MFSD4A,0.966,0.831,1.124,0.966[0.831:1.124],0.658
979,NEURL1B,0.957,0.801,1.144,0.957[0.801:1.144],0.632
980,BVES,1.059,0.918,1.221,1.059[0.918:1.221],0.432
981,RGMA,1.06,0.943,1.19,1.06[0.943:1.19],0.33
982,FAM163A,0.991,0.858,1.144,0.991[0.858:1.144],0.901
983,IGHV3OR15.7,0.944,0.846,1.054,0.944[0.846:1.054],0.309
984,FAM218A,1.038,0.9,1.196,1.038[0.9:1.196],0.61
985,MBOAT1,1.194,0.934,1.525,1.194[0.934:1.525],0.157
986,DPEP1,1.003,0.925,1.087,1.003[0.925:1.087],0.949
987,MYO1A,0.975,0.846,1.123,0.975[0.846:1.123],0.725
988,SEC14L6,1.16,0.998,1.347,1.16[0.998:1.347],0.053
989,COL4A6,0.93,0.838,1.032,0.93[0.838:1.032],0.173
990,DENND2A,0.91,0.761,1.087,0.91[0.761:1.087],0.298
991,TP53I3,0.986,0.784,1.24,0.986[0.784:1.24],0.906
992,MAB21L2,1.087,0.968,1.22,1.087[0.968:1.22],0.159
993,ZNF671,1.122,0.945,1.332,1.122[0.945:1.332],0.188
994,CIPC,1.101,0.889,1.363,1.101[0.889:1.363],0.378
995,EGFL6,0.958,0.834,1.101,0.958[0.834:1.101],0.546
996,IGHV3.60,0.934,0.825,1.056,0.934[0.825:1.056],0.274
997,NR3C1,1.04,0.897,1.205,1.04[0.897:1.205],0.607
998,TRHDE,1.022,0.922,1.133,1.022[0.922:1.133],0.68
999,TMEM54,1.025,0.836,1.257,1.025[0.836:1.257],0.812
1000,TAS1R1,1.163,1.005,1.345,1.163[1.005:1.345],0.042
1001,JAML,0.97,0.835,1.128,0.97[0.835:1.128],0.694
1002,COL6A5,0.882,0.773,1.007,0.882[0.773:1.007],0.064
1003,SESN2,1.068,0.852,1.339,1.068[0.852:1.339],0.567
1004,DOCK7.DT,1.047,0.883,1.242,1.047[0.883:1.242],0.598
1005,PRKACB,1.007,0.883,1.148,1.007[0.883:1.148],0.92
1006,DSC2,0.966,0.807,1.156,0.966[0.807:1.156],0.706
1007,LINC01752,1.026,0.919,1.146,1.026[0.919:1.146],0.644
1008,C7orf31,1.036,0.889,1.209,1.036[0.889:1.209],0.648
1009,CCNYL1,0.982,0.799,1.208,0.982[0.799:1.208],0.866
1010,SHOX,0.956,0.825,1.107,0.956[0.825:1.107],0.546
1011,VILL,1.04,0.87,1.244,1.04[0.87:1.244],0.664
1012,KAT2B,0.995,0.848,1.169,0.995[0.848:1.169],0.956
1013,NEDD4L,0.988,0.8,1.219,0.988[0.8:1.219],0.907
1014,ASXL3,0.991,0.894,1.099,0.991[0.894:1.099],0.862
1015,SALL2,1.064,0.927,1.22,1.064[0.927:1.22],0.378
1016,CLCNKB,1.133,0.958,1.338,1.133[0.958:1.338],0.144
1017,PLCD3,0.994,0.83,1.191,0.994[0.83:1.191],0.95
1018,SLC52A1,0.956,0.849,1.077,0.956[0.849:1.077],0.463
1019,AOC3,1.137,1.01,1.281,1.137[1.01:1.281],0.034
1020,KCNA5,1.078,0.92,1.264,1.078[0.92:1.264],0.353
1021,RAB3C,0.992,0.889,1.107,0.992[0.889:1.107],0.889
1022,DACT3,1.104,0.96,1.27,1.104[0.96:1.27],0.165
1023,NBPF1,0.983,0.816,1.184,0.983[0.816:1.184],0.857
1024,MACIR,0.893,0.734,1.085,0.893[0.734:1.085],0.254
1025,MFAP5,1.066,0.966,1.176,1.066[0.966:1.176],0.202
1026,STAP1,1.011,0.892,1.145,1.011[0.892:1.145],0.868
1027,DES,1.032,0.957,1.113,1.032[0.957:1.113],0.411
1028,CYSLTR1,0.967,0.841,1.112,0.967[0.841:1.112],0.639
1029,BDKRB1,1.04,0.881,1.227,1.04[0.881:1.227],0.644
1030,GCNT4,1.068,0.946,1.206,1.068[0.946:1.206],0.285
1031,UCN2,0.98,0.853,1.127,0.98[0.853:1.127],0.778
1032,MAFA,1.184,0.986,1.424,1.184[0.986:1.424],0.071
1033,FBXL22,1.163,0.971,1.393,1.163[0.971:1.393],0.102
1034,NPAS4,1.147,0.975,1.348,1.147[0.975:1.348],0.097
1035,LRRC66,1.043,0.899,1.21,1.043[0.899:1.21],0.581
1036,MPP2,1.303,1.105,1.536,1.303[1.105:1.536],0.002
1037,CYS1,1.066,0.932,1.218,1.066[0.932:1.218],0.35
1038,OMD,1.052,0.966,1.147,1.052[0.966:1.147],0.244
1039,LGI3,1.023,0.892,1.174,1.023[0.892:1.174],0.746
1040,ARRDC4,1.015,0.865,1.191,1.015[0.865:1.191],0.854
1041,RND2,1.037,0.897,1.198,1.037[0.897:1.198],0.626
1042,ARRB1,1.015,0.816,1.264,1.015[0.816:1.264],0.892
1043,SCG2,1.113,0.997,1.242,1.113[0.997:1.242],0.058
1044,CCL8,1.04,0.937,1.156,1.04[0.937:1.156],0.459
1045,PPP1R16B,0.945,0.816,1.095,0.945[0.816:1.095],0.453
1046,ELL2P1,0.943,0.773,1.151,0.943[0.773:1.151],0.566
1047,HLF,0.943,0.823,1.08,0.943[0.823:1.08],0.396
1048,GIMAP7,1.044,0.893,1.22,1.044[0.893:1.22],0.59
1049,LIMS2,1.126,0.966,1.312,1.126[0.966:1.312],0.13
1050,C14orf132,1.026,0.897,1.173,1.026[0.897:1.173],0.712
1051,FEZF1.AS1,1.053,0.98,1.13,1.053[0.98:1.13],0.158
1052,SH3TC2,0.984,0.851,1.138,0.984[0.851:1.138],0.825
1053,NAT1,0.809,0.682,0.959,0.809[0.682:0.959],0.015
1054,IGKV1D.27,0.959,0.855,1.075,0.959[0.855:1.075],0.474
1055,GHR,1.042,0.93,1.166,1.042[0.93:1.166],0.479
1056,CFL2,1.048,0.891,1.233,1.048[0.891:1.233],0.573
1057,EPB41L4A.DT,1.071,0.911,1.259,1.071[0.911:1.259],0.406
1058,OTUD7A,1.023,0.879,1.191,1.023[0.879:1.191],0.765
1059,NECAB1,1.084,0.96,1.224,1.084[0.96:1.224],0.194
1060,SH3GL2,0.985,0.881,1.101,0.985[0.881:1.101],0.788
1061,ABHD5,0.916,0.732,1.146,0.916[0.732:1.146],0.444
1062,IGHV3.72,0.977,0.908,1.051,0.977[0.908:1.051],0.535
1063,ACSF2,1.055,0.876,1.27,1.055[0.876:1.27],0.572
1064,SLC9A1,1.048,0.868,1.265,1.048[0.868:1.265],0.624
1065,PLN,1.06,0.958,1.172,1.06[0.958:1.172],0.259
1066,STAB1,1.157,0.984,1.36,1.157[0.984:1.36],0.078
1067,SH2D1B,1.041,0.894,1.212,1.041[0.894:1.212],0.609
1068,MARVELD3,1.118,0.891,1.403,1.118[0.891:1.403],0.336
1069,CD79A,0.975,0.881,1.078,0.975[0.881:1.078],0.616
1070,KCNIP1,1.082,0.922,1.27,1.082[0.922:1.27],0.332
1071,ZNF385B,1.049,0.928,1.186,1.049[0.928:1.186],0.444
1072,IGKV1D.16,0.976,0.896,1.062,0.976[0.896:1.062],0.565
1073,IGKV6.21,0.936,0.86,1.019,0.936[0.86:1.019],0.129
1074,PEX11A,1.049,0.854,1.288,1.049[0.854:1.288],0.651
1075,KLHL34,1.011,0.924,1.106,1.011[0.924:1.106],0.815
1076,PRDX6.AS1,1.205,1.007,1.442,1.205[1.007:1.442],0.042
1077,MEIS3P2,1.073,0.925,1.244,1.073[0.925:1.244],0.354
1078,PRRG3,0.917,0.781,1.077,0.917[0.781:1.077],0.291
1079,IL5RA,0.95,0.826,1.091,0.95[0.826:1.091],0.465
1080,NKD2,1.057,0.936,1.193,1.057[0.936:1.193],0.373
1081,MB,0.986,0.889,1.093,0.986[0.889:1.093],0.791
1082,CCL13,0.977,0.895,1.067,0.977[0.895:1.067],0.603
1083,IGHV2.5,1.008,0.933,1.089,1.008[0.933:1.089],0.835
1084,ATP6V0D2,1.007,0.884,1.146,1.007[0.884:1.146],0.922
1085,RAET1L,1.011,0.9,1.136,1.011[0.9:1.136],0.856
1086,CTXND1,1.128,1.027,1.239,1.128[1.027:1.239],0.012
1087,CNRIP1,1.037,0.866,1.243,1.037[0.866:1.243],0.693
1088,KRT1,0.911,0.799,1.039,0.911[0.799:1.039],0.163
1089,SETBP1.DT,1.067,0.904,1.259,1.067[0.904:1.259],0.444
1090,EDN2,0.963,0.851,1.09,0.963[0.851:1.09],0.549
1091,CPEB3,1.052,0.87,1.272,1.052[0.87:1.272],0.6
1092,CASP5,0.944,0.836,1.065,0.944[0.836:1.065],0.35
1093,RBM47,0.962,0.78,1.185,0.962[0.78:1.185],0.713
1094,ANKRD9,1.164,0.919,1.474,1.164[0.919:1.474],0.207
1095,ADAM33,1.061,0.943,1.194,1.061[0.943:1.194],0.325
1096,ABCD2,0.979,0.862,1.113,0.979[0.862:1.113],0.75
1097,STIM1,1.198,0.934,1.536,1.198[0.934:1.536],0.154
1098,LITAF,0.963,0.775,1.196,0.963[0.775:1.196],0.731
1099,RAB37,1.008,0.857,1.186,1.008[0.857:1.186],0.922
1100,FXYD6,1.101,0.964,1.257,1.101[0.964:1.257],0.156
1101,ZBTB7C,0.907,0.819,1.005,0.907[0.819:1.005],0.063
1102,BMP5,0.902,0.829,0.982,0.902[0.829:0.982],0.017
1103,GCNT3,1.073,0.962,1.198,1.073[0.962:1.198],0.206
1104,SCN3B,1.144,1.012,1.293,1.144[1.012:1.293],0.031
1105,CD27,1.001,0.877,1.141,1.001[0.877:1.141],0.993
1106,AMN,1.081,0.92,1.272,1.081[0.92:1.272],0.343
1107,IGKV2D.24,0.908,0.815,1.011,0.908[0.815:1.011],0.077
1108,ZNF667.AS1,1.131,0.965,1.325,1.131[0.965:1.325],0.127
1109,VAMP2,1.162,0.937,1.441,1.162[0.937:1.441],0.172
1110,IGHV3.35,0.916,0.823,1.02,0.916[0.823:1.02],0.11
1111,TCP11L1,1.074,0.857,1.345,1.074[0.857:1.345],0.536
1112,APOBR,0.993,0.864,1.141,0.993[0.864:1.141],0.919
1113,NLGN4X,1.046,0.924,1.183,1.046[0.924:1.183],0.478
1114,SYT5,1.045,0.917,1.191,1.045[0.917:1.191],0.509
1115,EML1,1.05,0.905,1.218,1.05[0.905:1.218],0.522
1116,MTM1,0.927,0.764,1.125,0.927[0.764:1.125],0.445
1117,TPSG1,0.904,0.825,0.991,0.904[0.825:0.991],0.031
1118,SEMA3G,1.121,0.982,1.28,1.121[0.982:1.28],0.09
1119,CCDC178,1.051,0.896,1.232,1.051[0.896:1.232],0.54
1120,EPIST,1.052,0.894,1.237,1.052[0.894:1.237],0.542
1121,GSTA1,0.995,0.907,1.093,0.995[0.907:1.093],0.923
1122,UTS2B,1.027,0.873,1.208,1.027[0.873:1.208],0.748
1123,HSPA2,1.023,0.887,1.18,1.023[0.887:1.18],0.754
1124,UNC79,1.183,0.971,1.442,1.183[0.971:1.442],0.096
1125,PLSCR4,0.995,0.847,1.171,0.995[0.847:1.171],0.956
1126,SLC41A2,0.96,0.824,1.118,0.96[0.824:1.118],0.601
1127,OSR1,1.099,0.989,1.221,1.099[0.989:1.221],0.08
1128,RHOU,1.076,0.89,1.3,1.076[0.89:1.3],0.45
1129,PNOC,0.992,0.884,1.114,0.992[0.884:1.114],0.898
1130,SCTR,1.171,1.034,1.326,1.171[1.034:1.326],0.013
1131,SLC35G1,1.123,0.921,1.369,1.123[0.921:1.369],0.252
1132,MPND,1.071,0.844,1.36,1.071[0.844:1.36],0.571
1133,OCEL1,1.096,0.868,1.384,1.096[0.868:1.384],0.44
1134,VSIG2,0.967,0.899,1.041,0.967[0.899:1.041],0.375
1135,DPP10,0.981,0.91,1.057,0.981[0.91:1.057],0.608
1136,MASP1,0.982,0.894,1.078,0.982[0.894:1.078],0.698
1137,TP73.AS1,1.117,0.953,1.31,1.117[0.953:1.31],0.171
1138,MGST3,0.995,0.759,1.305,0.995[0.759:1.305],0.97
1139,PIGZ,0.976,0.842,1.133,0.976[0.842:1.133],0.752
1140,ATP8A2,1.082,0.925,1.266,1.082[0.925:1.266],0.323
1141,CAMK2A,1.126,0.97,1.306,1.126[0.97:1.306],0.118
1142,GAD1,1.059,0.959,1.168,1.059[0.959:1.168],0.258
1143,HIGD1AP1,0.845,0.68,1.05,0.845[0.68:1.05],0.128
1144,IGKV3.7,0.97,0.886,1.062,0.97[0.886:1.062],0.512
1145,IGKV3D.15,0.949,0.867,1.038,0.949[0.867:1.038],0.255
1146,MS4A2,0.89,0.795,0.997,0.89[0.795:0.997],0.044
1147,GDNF,1.007,0.887,1.143,1.007[0.887:1.143],0.913
1148,MMP3,0.894,0.821,0.973,0.894[0.821:0.973],0.01
1149,FBXO32,1.026,0.882,1.194,1.026[0.882:1.194],0.739
1150,LINC02397,0.982,0.849,1.137,0.982[0.849:1.137],0.813
1151,SLC44A4,0.952,0.824,1.099,0.952[0.824:1.099],0.5
1152,GIMAP8,1.06,0.906,1.24,1.06[0.906:1.24],0.469
1153,ACO2,1.065,0.844,1.345,1.065[0.844:1.345],0.594
1154,PACSIN2,1.092,0.864,1.381,1.092[0.864:1.381],0.462
1155,PPP2R2B,1.033,0.902,1.184,1.033[0.902:1.184],0.637
1156,HHIP,0.938,0.843,1.045,0.938[0.843:1.045],0.245
1157,LRRC75A,0.925,0.757,1.13,0.925[0.757:1.13],0.444
1158,RASGRP2,1.134,0.966,1.331,1.134[0.966:1.331],0.125
1159,GPR27,1.125,1.007,1.257,1.125[1.007:1.257],0.037
1160,CLECL1P,0.916,0.792,1.059,0.916[0.792:1.059],0.237
1161,LILRP2,0.928,0.784,1.1,0.928[0.784:1.1],0.39
1162,PLUT,1.023,0.902,1.16,1.023[0.902:1.16],0.728
1163,SPARCL1,1.098,0.965,1.249,1.098[0.965:1.249],0.157
1164,IGHA1,0.982,0.914,1.055,0.982[0.914:1.055],0.625
1165,H1.2,1.113,0.963,1.286,1.113[0.963:1.286],0.148
1166,PAQR8,0.943,0.802,1.108,0.943[0.802:1.108],0.474
1167,MRGPRF,1.025,0.9,1.168,1.025[0.9:1.168],0.709
1168,SYNC,1.019,0.9,1.153,1.019[0.9:1.153],0.769
1169,CPAMD8,1.116,0.946,1.316,1.116[0.946:1.316],0.194
1170,UBE2QL1,1.108,0.975,1.259,1.108[0.975:1.259],0.115
1171,TMPRSS2,1.051,0.864,1.278,1.051[0.864:1.278],0.618
1172,CD48,0.965,0.839,1.112,0.965[0.839:1.112],0.625
1173,CLEC4F,1.126,0.973,1.302,1.126[0.973:1.302],0.111
1174,MAGOH2P,0.965,0.804,1.157,0.965[0.804:1.157],0.698
1175,MAPK3,1.113,0.871,1.422,1.113[0.871:1.422],0.392
1176,TNFSF10,1.005,0.832,1.215,1.005[0.832:1.215],0.955
1177,IGHV3.38,0.9,0.802,1.011,0.9[0.802:1.011],0.076
1178,B3GNT8,0.93,0.794,1.09,0.93[0.794:1.09],0.372
1179,CCDC78,1.239,1.084,1.417,1.239[1.084:1.417],0.002
1180,PALM,1.15,1.005,1.317,1.15[1.005:1.317],0.043
1181,FAM161B,1.122,0.923,1.365,1.122[0.923:1.365],0.248
1182,ANO10,0.984,0.786,1.232,0.984[0.786:1.232],0.889
1183,FCRL2,1.016,0.914,1.13,1.016[0.914:1.13],0.767
1184,IGLV2.8,0.956,0.889,1.027,0.956[0.889:1.027],0.218
1185,EPHX2,0.943,0.8,1.112,0.943[0.8:1.112],0.485
1186,SLC9A2,1.002,0.894,1.123,1.002[0.894:1.123],0.971
1187,CAV1,1.071,0.906,1.265,1.071[0.906:1.265],0.421
1188,IGHV3.71,0.965,0.864,1.077,0.965[0.864:1.077],0.525
1189,KANK2,1.135,0.937,1.375,1.135[0.937:1.375],0.196
1190,KIR2DL4,0.96,0.856,1.076,0.96[0.856:1.076],0.484
1191,LINC01133,1.106,0.945,1.296,1.106[0.945:1.296],0.209
1192,FXYD3,0.937,0.792,1.109,0.937[0.792:1.109],0.452
1193,FILIP1,1.105,0.965,1.265,1.105[0.965:1.265],0.15
1194,KLF9,1.014,0.872,1.179,1.014[0.872:1.179],0.858
1195,UCHL1,1.144,1.018,1.285,1.144[1.018:1.285],0.023
1196,ZFYVE28,1.045,0.861,1.267,1.045[0.861:1.267],0.658
1197,PRADC1,1.149,0.883,1.494,1.149[0.883:1.494],0.301
1198,PPARGC1B,0.971,0.803,1.174,0.971[0.803:1.174],0.764
1199,FLT3,0.923,0.813,1.048,0.923[0.813:1.048],0.216
1200,TMEM132D,1.024,0.898,1.169,1.024[0.898:1.169],0.721
1201,CYBRD1,1.071,0.934,1.229,1.071[0.934:1.229],0.324
1202,BTBD3,1.102,0.888,1.367,1.102[0.888:1.367],0.38
1203,CNR2,0.994,0.873,1.133,0.994[0.873:1.133],0.932
1204,MYORG,1.034,0.848,1.261,1.034[0.848:1.261],0.742
1205,EVA1A.AS,0.954,0.863,1.055,0.954[0.863:1.055],0.356
1206,ARL4D,1.096,0.937,1.282,1.096[0.937:1.282],0.251
1207,IGKV1D.42,0.958,0.857,1.071,0.958[0.857:1.071],0.454
1208,SEC1P,1.133,0.959,1.339,1.133[0.959:1.339],0.141
1209,LINC02984,1.019,0.897,1.157,1.019[0.897:1.157],0.777
1210,IGHV3.74,0.962,0.897,1.032,0.962[0.897:1.032],0.284
1211,GIMAP6,1.007,0.858,1.184,1.007[0.858:1.184],0.928
1212,KRT17,1.043,0.953,1.141,1.043[0.953:1.141],0.362
1213,PDE3A,0.992,0.884,1.113,0.992[0.884:1.113],0.886
1214,ZNF492,0.991,0.879,1.117,0.991[0.879:1.117],0.884
1215,IL1R2,1.017,0.906,1.142,1.017[0.906:1.142],0.775
1216,PLA2G10,0.939,0.812,1.085,0.939[0.812:1.085],0.394
1217,EMP1,1.033,0.883,1.21,1.033[0.883:1.21],0.682
1218,PACSIN1,1.172,1.012,1.359,1.172[1.012:1.359],0.035
1219,TGFBI,0.973,0.84,1.127,0.973[0.84:1.127],0.714
1220,DNAJB5,1.087,0.927,1.274,1.087[0.927:1.274],0.306
1221,IGHV1OR15.2,0.961,0.871,1.06,0.961[0.871:1.06],0.427
1222,AQP7,1.151,1.004,1.32,1.151[1.004:1.32],0.044
1223,ACKR1,1.02,0.933,1.116,1.02[0.933:1.116],0.658
1224,CSMD1,1.055,0.923,1.205,1.055[0.923:1.205],0.431
1225,CYB561A3,1.169,0.896,1.525,1.169[0.896:1.525],0.25
1226,MEIS3P1,1.022,0.911,1.148,1.022[0.911:1.148],0.708
1227,CCL15.CCL14,1.042,0.915,1.188,1.042[0.915:1.188],0.534
1228,ADRA1B,1.136,0.977,1.32,1.136[0.977:1.32],0.097
1229,GAS1RR,1.156,1.012,1.32,1.156[1.012:1.32],0.033
1230,TCF7L1,1.293,1.062,1.576,1.293[1.062:1.576],0.011
1231,ITPRID1,1.031,0.921,1.153,1.031[0.921:1.153],0.601
1232,CHRNA3,1.073,0.96,1.198,1.073[0.96:1.198],0.214
1233,LTBP4,1.199,0.984,1.46,1.199[0.984:1.46],0.071
1234,PAFAH2,0.922,0.752,1.129,0.922[0.752:1.129],0.431
1235,ZDHHC15,1.065,0.928,1.222,1.065[0.928:1.222],0.373
1236,SIGLEC17P,1.011,0.889,1.151,1.011[0.889:1.151],0.866
1237,CRYBA2,1.051,0.934,1.183,1.051[0.934:1.183],0.406
1238,TXNIP,1.115,0.946,1.314,1.115[0.946:1.314],0.195
1239,LRRC4B,1.169,0.963,1.419,1.169[0.963:1.419],0.115
1240,ZNF582.DT,1.107,0.944,1.299,1.107[0.944:1.299],0.21
1241,MIXL1,0.975,0.85,1.118,0.975[0.85:1.118],0.715
1242,PAK3,1.107,0.972,1.26,1.107[0.972:1.26],0.125
1243,TOM1L2,1.14,0.918,1.416,1.14[0.918:1.416],0.235
1244,LPCAT3,1.023,0.833,1.256,1.023[0.833:1.256],0.83
1245,MYL6,0.987,0.753,1.294,0.987[0.753:1.294],0.925
1246,SLC6A9,1.017,0.855,1.209,1.017[0.855:1.209],0.849
1247,GPIHBP1,1.145,1.018,1.287,1.145[1.018:1.287],0.024
1248,PDE5A,1.013,0.872,1.176,1.013[0.872:1.176],0.867
1249,TLR10,0.966,0.86,1.086,0.966[0.86:1.086],0.567
1250,POPDC2,1.138,0.99,1.31,1.138[0.99:1.31],0.07
1251,TMEM132A,1.039,0.861,1.254,1.039[0.861:1.254],0.691
1252,GSTM2,1.191,1.008,1.408,1.191[1.008:1.408],0.04
1253,IGHV1.14,1.009,0.887,1.149,1.009[0.887:1.149],0.888
1254,DNAJC28,0.932,0.795,1.093,0.932[0.795:1.093],0.388
1255,UGT2B15,0.955,0.871,1.048,0.955[0.871:1.048],0.33
1256,PLIN4,1.091,1.012,1.177,1.091[1.012:1.177],0.024
1257,IGF1,1.053,0.942,1.178,1.053[0.942:1.178],0.36
1258,RAB6B,1.23,1.044,1.449,1.23[1.044:1.449],0.014
1259,LILRA4,1.036,0.904,1.186,1.036[0.904:1.186],0.614
1260,MS4A4E,1.113,0.953,1.3,1.113[0.953:1.3],0.178
1261,TCEAL7,1.038,0.899,1.197,1.038[0.899:1.197],0.614
1262,IGHV1.12,0.965,0.862,1.08,0.965[0.862:1.08],0.533
1263,SPEG,1.123,1.01,1.249,1.123[1.01:1.249],0.032
1264,MAF,1.055,0.899,1.237,1.055[0.899:1.237],0.512
1265,CHRM4,1.017,0.889,1.164,1.017[0.889:1.164],0.805
1266,HDAC9,1.032,0.907,1.174,1.032[0.907:1.174],0.633
1267,FER1L6,0.938,0.867,1.016,0.938[0.867:1.016],0.118
1268,HS6ST3,1.147,1.013,1.298,1.147[1.013:1.298],0.03
1269,MPPE1,1.174,0.927,1.488,1.174[0.927:1.488],0.183
1270,FOSL1,1.096,0.963,1.249,1.096[0.963:1.249],0.165
1271,HSD17B11,0.99,0.814,1.203,0.99[0.814:1.203],0.918
1272,BDKRB2,0.996,0.825,1.203,0.996[0.825:1.203],0.971
1273,PHGR1,0.939,0.823,1.07,0.939[0.823:1.07],0.345
1274,P2RY8,1.068,0.913,1.248,1.068[0.913:1.248],0.412
1275,HIF3A,1.086,0.964,1.224,1.086[0.964:1.224],0.177
1276,THRB,0.97,0.875,1.076,0.97[0.875:1.076],0.565
1277,BCL2,1.064,0.918,1.233,1.064[0.918:1.233],0.41
1278,PCSK7,1.065,0.85,1.335,1.065[0.85:1.335],0.584
1279,HEPACAM2,0.918,0.853,0.987,0.918[0.853:0.987],0.021
1280,STXBP5L,1.063,0.933,1.211,1.063[0.933:1.211],0.358
1281,KIT,1.029,0.91,1.164,1.029[0.91:1.164],0.645
1282,ATL1,1.04,0.855,1.265,1.04[0.855:1.265],0.695
1283,CRADD,1.002,0.778,1.29,1.002[0.778:1.29],0.99
1284,SCRG1,1.085,0.982,1.199,1.085[0.982:1.199],0.109
1285,PTPRT,0.972,0.855,1.106,0.972[0.855:1.106],0.668
1286,LRRC1,0.994,0.798,1.237,0.994[0.798:1.237],0.956
1287,PAPPA2,0.974,0.869,1.091,0.974[0.869:1.091],0.645
1288,SMIM43,1.148,0.976,1.351,1.148[0.976:1.351],0.095
1289,SYNE3,1.066,0.909,1.25,1.066[0.909:1.25],0.43
1290,TNS1,1.121,0.994,1.265,1.121[0.994:1.265],0.063
1291,FAM222A.AS1,1.005,0.874,1.156,1.005[0.874:1.156],0.941
1292,NCF1B,1.024,0.894,1.172,1.024[0.894:1.172],0.734
1293,FENDRR,0.921,0.817,1.037,0.921[0.817:1.037],0.173
1294,PDGFD,1.033,0.89,1.199,1.033[0.89:1.199],0.668
1295,FAM166C,1.122,0.973,1.294,1.122[0.973:1.294],0.112
1296,CHST5,0.965,0.888,1.048,0.965[0.888:1.048],0.398
1297,CARMN,1.073,0.953,1.209,1.073[0.953:1.209],0.245
1298,EPAS1,1.028,0.849,1.244,1.028[0.849:1.244],0.78
1299,ARMCX1,1.092,0.94,1.269,1.092[0.94:1.269],0.248
1300,CDK15,0.96,0.835,1.103,0.96[0.835:1.103],0.565
1301,WNT2B,1.003,0.842,1.195,1.003[0.842:1.195],0.974
1302,TSPAN11,0.884,0.757,1.031,0.884[0.757:1.031],0.116
1303,IGLV5.45,0.956,0.886,1.031,0.956[0.886:1.031],0.242
1304,LINC00294,1.171,0.927,1.479,1.171[0.927:1.479],0.186
1305,POU2F2.AS2,0.976,0.827,1.151,0.976[0.827:1.151],0.771
1306,CD101,0.956,0.798,1.144,0.956[0.798:1.144],0.621
1307,ITIH5,0.997,0.871,1.14,0.997[0.871:1.14],0.962
1308,IL6ST.DT,0.987,0.817,1.193,0.987[0.817:1.193],0.895
1309,TACR1,1.058,0.947,1.183,1.058[0.947:1.183],0.321
1310,PJA2,0.987,0.82,1.188,0.987[0.82:1.188],0.891
1311,PCDH9,1.139,1.02,1.272,1.139[1.02:1.272],0.021
1312,HPCA,1.188,0.959,1.47,1.188[0.959:1.47],0.115
1313,CLEC17A,0.946,0.83,1.078,0.946[0.83:1.078],0.404
1314,OR2W3,1.084,0.966,1.217,1.084[0.966:1.217],0.17
1315,MEF2C,1.051,0.905,1.221,1.051[0.905:1.221],0.511
1316,HIPK4,1.147,0.944,1.394,1.147[0.944:1.394],0.168
1317,SLC1A1,0.97,0.842,1.118,0.97[0.842:1.118],0.671
1318,FEZ1,1.075,0.901,1.282,1.075[0.901:1.282],0.424
1319,CLIP4,1.05,0.923,1.194,1.05[0.923:1.194],0.457
1320,MYH15,1.041,0.904,1.198,1.041[0.904:1.198],0.579
1321,IGHV5.78,1.047,0.917,1.196,1.047[0.917:1.196],0.496
1322,PDE8A,1.006,0.818,1.238,1.006[0.818:1.238],0.951
1323,TMEM140,1.173,0.96,1.434,1.173[0.96:1.434],0.118
1324,SULT2B1,1.05,0.905,1.217,1.05[0.905:1.217],0.52
1325,F2RL1,0.919,0.752,1.123,0.919[0.752:1.123],0.409
1326,NCF1C,1.054,0.913,1.216,1.054[0.913:1.216],0.473
1327,DPYD,1.061,0.934,1.205,1.061[0.934:1.205],0.364
1328,SGCE,1.091,0.929,1.281,1.091[0.929:1.281],0.288
1329,FAM78B.AS1,1.071,0.884,1.297,1.071[0.884:1.297],0.487
1330,SLC25A42,1.212,0.971,1.514,1.212[0.971:1.514],0.09
1331,STK32B,1.063,0.917,1.231,1.063[0.917:1.231],0.42
1332,IGHV3.19,0.963,0.861,1.077,0.963[0.861:1.077],0.513
1333,IGLV7.46,0.958,0.888,1.033,0.958[0.888:1.033],0.262
1334,FABP6,1.03,0.933,1.136,1.03[0.933:1.136],0.56
1335,RAB44,0.914,0.784,1.065,0.914[0.784:1.065],0.25
1336,PIK3CG,0.998,0.885,1.127,0.998[0.885:1.127],0.977
1337,NGFR,1.13,1.02,1.251,1.13[1.02:1.251],0.019
1338,NPY1R,1.016,0.927,1.113,1.016[0.927:1.113],0.74
1339,LRRC55,1.049,0.919,1.199,1.049[0.919:1.199],0.478
1340,ZC3HAV1L,1.107,0.846,1.448,1.107[0.846:1.448],0.458
1341,CALB2,1.129,1.032,1.235,1.129[1.032:1.235],0.008
1342,LRFN5,0.985,0.868,1.119,0.985[0.868:1.119],0.819
1343,BTBD16,1.071,0.936,1.225,1.071[0.936:1.225],0.319
1344,EPB41L4B,0.977,0.813,1.174,0.977[0.813:1.174],0.8
1345,LINC02447,1.195,1.01,1.415,1.195[1.01:1.415],0.038
1346,LRRC7,1.046,0.892,1.226,1.046[0.892:1.226],0.581
1347,PRELP,1.124,1.024,1.233,1.124[1.024:1.233],0.014
1348,RGS22,1.137,0.993,1.302,1.137[0.993:1.302],0.064
